18:53:22.187 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: AIFC;aifc;Audio;Compressed Audio Interchange File Format;ContentRecognizerAIFF;AIFF/AIFC Sound;32;134217728
18:53:22.224 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: AIFF;aif;Audio;Audio Interchange File Format;ContentRecognizerAIFF;AIFF/AIFC Sound;32;134217728
18:53:22.258 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: AMR;amr;Audio;Adaptive Multi-Rate Audio;ContentRecognizerAMR;Adaptive Multi-Rate;512;16777216
18:53:22.299 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: ANI;ani;Image;Animated Cursor;ContentRecognizerResourceInterchangeFileFormat;Resource Interchange File Format;512;4294967296
18:53:22.387 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: ANIM;anim;Image;Cel Animation;ContentRecognizerAIFF;AIFF/AIFC Sound;32;134217728
18:53:22.433 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: ANM;anm;Image;DeluxePaint File;ContentRecognizerANM;DeluxePaint File;512;32000000
18:53:22.471 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: APD;apd;Document;Lotus Printer Driver;ContentRecognizerAPD;Lotus Printer Driver;512;32000000
18:53:22.530 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: AR;a;Archive;Unix ar Archive;ContentRecognizerUnixArchive;Unix ar Archive;32;4294967296
18:53:22.587 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: ARJ;arj;Archive;Archived by Robert Jung;ContentRecognizerArchiverRobertJung;Archived by Robert Jung;512;134217728
18:53:22.620 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: ARW;arw;Image;Sony ARW Raw Image;ContentRecognizerTaggedImageFileFormat;Tagged Image File Format;512;536870912
18:53:22.675 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: ASF;asf;Video;Advanced Systems Format;ContentRecognizerAdvancedSystemsFormat;Advanced Systems Format;512;134217728
18:53:22.724 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: AU;au;Audio;Sun Audio File;ContentRecognizerAU;Sun Audio File;512;32000000
18:53:22.752 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: AVI;avi;Video;Audio Video Interleave File;ContentRecognizerResourceInterchangeFileFormat;Resource Interchange File Format;512;4294967296
18:53:22.785 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: AW;aw;Document;Microsoft Answer Wizard;ContentRecognizerAW;Microsoft Answer Wizard;512;32000000
18:53:22.854 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: AdobeDCR;dcr;Other;Adobe Director Compressed Resource;ContentRecognizerAdobeDirectorCompressedResource;Adobe Director Compressed Resource;512;134217728
18:53:22.913 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: BDR;bdr;Document;Microsoft Border Support;ContentRecognizerBDR;Microsoft Border Support;512;32000000
18:53:22.972 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: BMP;bmp;Image;Windows Bitmap;ContentRecognizerBitmap;Windows Bitmap;512;134217728
18:53:22.994 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: BMPRaw;raw;Image;Windows Bitmap Data;ContentRecognizerBitmap;Windows Bitmap;512;134217728
18:53:23.016 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: BOO;boo;Document;Adobe FrameMaker;ContentRecognizerBOO;Adobe FrameMaker;512;32000000
18:53:23.038 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: BQY;bqy;Document;BrioQuery;ContentRecognizerBQY;BrioQuery;512;32000000
18:53:23.078 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: BTR;btr;Document;Btrieve Database;ContentRecognizerBTR;Btrieve Database;512;32000000
18:53:23.104 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CAB;cab;Archive;Cabinet File;ContentRecognizerCabinet;Microsoft Cabinet;512;1073741824
18:53:23.150 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CCP;ccp;Document;AutoCAD File;ContentRecognizerCCP;AutoCAD File;512;32000000
18:53:23.170 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CDD;cdd;Image;CorelDraw File;ContentRecognizerCDD;CorelDraw File;512;32000000
18:53:23.213 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CDR;cdr;Image;CorelDraw CDR Image;ContentRecognizerResourceInterchangeFileFormat;Resource Interchange File Format;512;4294967296
18:53:23.247 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CDT;cdt;Image;CorelDraw CDT Template;ContentRecognizerResourceInterchangeFileFormat;Resource Interchange File Format;512;4294967296
18:53:23.269 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CGD;cgd;Image;CricketGraph;ContentRecognizerCGD;CricketGraph;512;32000000
18:53:23.291 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CGG;cgg;Image;CricketGraph;ContentRecognizerCGG;CricketGraph;512;32000000
18:53:23.327 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CGT;cgt;Image;CorelDraw Template;ContentRecognizerCGT;CorelDraw Template;512;32000000
18:53:23.369 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CHM;chm;Document;Microsoft Compiled Help;ContentRecognizerCHM;Compiled HTML Help;32;134217728
18:53:23.389 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CLASS;class;Document;Java class file;ContentRecognizerCLASS;Java class file;128;32000000
18:53:23.422 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CLX;clx;Document;Dictionary File;ContentRecognizerCLX;Dictionary File;512;32000000
18:53:23.456 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CMX;cmx;Image;CorelDraw CMX Metafile;ContentRecognizerResourceInterchangeFileFormat;Resource Interchange File Format;512;4294967296
18:53:23.493 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CNT;cnt;Document;Microsoft Help Content File;ContentRecognizerCNT;Microsoft Help Content File;512;32000000
18:53:23.539 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CPI;cpi;Document;Microsoft International Code Page;ContentRecognizerCPI;Microsoft International Code Page;512;32000000
18:53:23.592 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CR2;cr2;Image;Canon CR2 Raw Image;ContentRecognizerTaggedImageFileFormat;Tagged Image File Format;512;536870912
18:53:23.624 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CRV;crv;Document;Corel Photo Paint Tone Curve File;ContentRecognizerCRV;Corel Photo Paint Tone Curve File;512;32000000
18:53:23.665 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CRW;crw;Image;Canon CRW Raw Image;ContentRecognizerCanonCRW;Canon CRW;512;134217728
18:53:23.709 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CS1;cs1;Image;Sinar CS1 Image;ContentRecognizerPhotoShopData;PhotoShop Data;512;536870912
18:53:23.730 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CUR;cur;Other;Cursor;ContentRecognizerIconCursor;Windows Icon And Cursor;32;262144
18:53:23.753 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CV5;cv5;Image;Canvas;ContentRecognizerCV5;Canvas;512;32000000
18:53:23.774 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CVI;cvi;Document;CVI File;ContentRecognizerCVI;CVI File;512;32000000
18:53:23.813 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: CWL;cwl;Document;ClarisWorks Library File;ContentRecognizerCWL;ClarisWorks Library File;512;32000000
18:53:23.845 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: DC2;dc2;Image;Kodak DC2;ContentRecognizerKodakDC2;Kodak DC2;512;16777216
18:53:23.862 (debug) (T:13124) ContentTypeRegister.cpp:126 [ContentRecognition::ContentTypeRegister::listAll] this=[ContentTypeRegister:]: DCA;dca;Document;IBM Displaywrite;ContentRecognizerDCA;IBM Displaywrite;512;32000000
